keys	en	fr	de	es
TEST_ENTRY_0	A legend tells of a day the ravens circling the Tower of London mysteriously disappear, causing Great Britain to fall irreparably and the monarchy to crumble.	La légende raconte qu'un jour, les corbeaux tournoyant autour de la Tour de Londres disparaîtront mystérieusement, occasionnant une chute irrémédiable de la Grande-Bretagne et un effondrement de la monarchie. (More than 170 characters, fix later)		Cuenta una antigua leyenda que el día en el que los cuervos que habitan la Torre de Londres súbitamente desaparezcan, caerá Gran Bretaña y se derrumbará la monarquía. 
TEST_ENTRY_1	Such an event has now occurred in London and with it, a strange phenomenon of members of the British parliament going missing, only leaving clouds of smoke behind them.	Un tel événement vient de se produire à Londres, et avec ça, l'étrange disparition de membres du Parlement brittanique, ne laissant derrière eux qu'un nuage de fumée.(More than 170 characters, fix later)		Un evento similar acaba de ocurrir en Londres, y con ello, varios miembros del Parlamento Británico están desapareciendo misteriosamente, dejando solo nubes de humo en su lugar.(More than 170 characters, fix later)
TEST_ENTRY_2	The renowned Professor of Gressenheller University, Hershel Layton, along with his helper Flora Reinhold, have decided to investigate this concerning matter. 	Hershel Layton, le célèbre professeur de l'Université de Gressenheller, a décidé d'enquêter sur cette affaire inquiétante avec l'aide de Flora Reinhold, après avoir reçu une lettre de Vincent Falco, un historien d'Amérique, leur demandant leur aide.		El renombrado profesor de la Universidad de Gressenheller, Hershel Layton, junto a su ayudante Flora Reinhold, han decidido investigar este preocupante incidente tras recibir una carta de un historiador estadounidense conocido como Vincent Falco, pidiéndoles ayuda al respecto.
TEST_NPC_DUMMY_0	Well, if it ain’t you ol’ so-and-so–er, ahem! I’ve got a little secret to tell you, if you’d just come closer.	Eh bien, si c'est pas toi mon vieux untel, ahem ! J'ai un petit secret pour vous, si vous vous rapprocheriez.		
TEST_NPC_DUMMY_1	Um, Professor, do you know this person already?	Euh Professeur, est-ce que vous connaissez cette personne ?		
TEST_NPC_DUMMY_2	Hm? Oh, so this is where you ran off to! Lovely to see you again, lass–quite the brave young woman you’ve become, eh?	Hein ? Donc c'est ici que vous vous êtes enfuits ! Ravi de te revoir, demoiselle, tu es devenue une jeune femme bien courageuse, hé ? 		
TEST_NPC_DUMMY_3	Uh…thank you?	Euh... merci ?		
TEST_NPC_DUMMY_4	You’ve still got a lot to learn about the world though–tell me, you heard about a little thing called “hint coins”?	Mais tu as encore beaucoup à apprendre de ce monde. Dis moi, as-tu déjà entendu parler des pièces S.O.S. ?		
TEST_NPC_DUMMY_5	We have, actually! So there’s really no need to explain it to us again.	En effet ! Donc il n'y a vraiment pas de besoin de nous les réexpliquer.		
TEST_NPC_DUMMY_6	Yeah, but does the lady know?	Oui oui, mais est-ce que la demoiselle connaît ?		
TEST_NPC_DUMMY_7	I think I’ve heard of hint coins! They’re those little tokens the Professor and Luke find from time to time, aren’t they?	Je pense que j'en ai entendu ! C'est à dire les petites pièces que le Professeur et Luke retrouvent de temps en temps, n'est-ce pas ?		
TEST_NPC_DUMMY_8	Ever wonder where they hide? I’ll bet you do! Try giving that old street lamp over there a tap. Go on, just do it!	Tu t'es jamais demandé où elles se cachent ? J'en suis sûr que oui ! Essaie-donc de taper sur ce lampadaire. Allez-y !		
TEST_POPUP_HOUSE_0	What a beautiful house!	Quelle belle maison !		